date,SKU,impressions,clicks,costPerClick,clickThroughRate,cost,spend,currency-code,purchases1d,purchases7d,purchases14d,purchases30d,unitsSoldClicks1d,unitsSoldClicks7d,unitsSoldClicks14d,unitsSoldClicks30d,sales1d,sales7d,sales14d,sales30d,acosClicks7d,acosClicks14d,roasClicks7d,roasClicks14d
2025-09-04,MN-28,3807,23,5.257,0.604,120.92,120.92,USD,10,11,11,11,20,23,23,23,546.7,624.64,624.64,624.64,19.35835041,19.35835041,5.165729408,5.165729408
2025-09-04,MN-29,6996,35,3.512,0.500,122.92,122.92,USD,8,11,11,11,11,14,14,14,386.39,470.23,470.23,470.23,26.14039938,26.14039938,3.825496258,3.825496258
2025-09-04,MN-10,544,6,1.625,1.103,9.75,9.75,USD,0,1,1,1,0,1,1,1,0,41.49,41.49,41.49,23.49963847,23.49963847,4.255384615,4.255384615
2025-09-04,MN-30,2244,16,2.693,0.713,43.08,43.08,USD,2,2,2,2,4,4,4,4,122.94,122.94,122.94,122.94,35.04148365,35.04148365,2.853760446,2.853760446
2025-09-04,MN-31,1239,6,2.077,0.484,12.46,12.46,USD,2,2,2,2,2,2,2,2,61.47,61.47,61.47,61.47,20.27005043,20.27005043,4.933386838,4.933386838
2025-09-04,MN-32,2296,8,3.425,0.348,27.4,27.4,USD,3,3,3,3,6,6,6,6,224.47,224.47,224.47,224.47,12.20653094,12.20653094,8.192335766,8.192335766
2025-09-04,MN-33,742,13,3.445,1.752,44.79,44.79,USD,4,5,5,5,5,6,6,6,187.17,214.05,214.05,214.05,20.92501752,20.92501752,4.77896852,4.77896852
2025-09-04,MN-34,108,1,4.450,0.926,4.45,4.45,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-35,433,5,3.030,1.155,15.15,15.15,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-41,2014,13,6.754,0.645,87.8,87.8,USD,12,14,14,14,23,25,25,25,1867.06,1978.02,1978.02,1978.02,4.438782217,4.438782217,22.52870159,22.52870159
2025-09-04,MN-42,1924,6,4.742,0.312,28.45,28.45,USD,2,4,5,5,6,14,16,16,452.94,1053.68,1205.44,1205.44,2.70006074,2.360134059,37.03620387,42.37047452
2025-09-04,MN-01,1254,13,2.428,1.037,31.56,31.56,USD,4,4,4,4,4,4,4,4,133.17,133.17,133.17,133.17,23.69903131,23.69903131,4.219581749,4.219581749
2025-09-04,MN-40,386,7,2.963,1.813,20.74,20.74,USD,1,1,1,1,3,3,3,3,76.47,76.47,76.47,76.47,27.12174709,27.12174709,3.68707811,3.68707811
2025-09-04,MN-31,283,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-10,17,1,1.470,5.882,1.47,1.47,USD,0,4,5,5,0,4,5,5,0,80.37,80.37,80.37,1.829040687,1.829040687,54.67346939,54.67346939
2025-09-04,MN-26,837,8,4.469,0.956,35.75,35.75,USD,3,3,3,3,6,6,6,6,500.99,500.99,500.99,500.99,7.135870975,7.135870975,14.01370629,14.01370629
2025-09-04,MN-30,178,2,4.075,1.124,8.15,8.15,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-47,149,2,2.085,1.342,4.17,4.17,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-16,86,2,2.940,2.326,5.88,5.88,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-14,365,2,2.860,0.548,5.72,5.72,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-06,1204,3,2.033,0.249,6.1,6.1,USD,0,1,1,1,0,1,1,1,0,15.88,15.88,15.88,38.41309824,38.41309824,2.603278689,2.603278689
2025-09-04,MN-48,124,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-25,821,7,3.279,0.853,22.95,22.95,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-36,154,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-15,73,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-01,84,1,2.860,1.190,2.86,2.86,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-45,550,6,2.943,1.091,17.66,17.66,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-43,1631,3,2.007,0.184,6.02,6.02,USD,0,1,1,1,0,1,1,1,0,35.98,35.98,35.98,16.73151751,16.73151751,5.976744186,5.976744186
2025-09-04,MN-46,368,2,2.265,0.543,4.53,4.53,USD,1,1,1,1,1,1,1,1,28.49,28.49,28.49,28.49,15.9003159,15.9003159,6.289183223,6.289183223
2025-09-04,MN-13,3,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-15,87,1,1.010,1.149,1.01,1.01,USD,1,1,1,1,1,1,1,1,35.9,35.9,35.9,35.9,2.813370474,2.813370474,35.54455446,35.54455446
2025-09-04,MN-19,21,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-30,154,2,3.660,1.299,7.32,7.32,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-36,14,1,1.550,7.143,1.55,1.55,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-28,888,10,4.102,1.126,41.02,41.02,USD,5,5,5,5,5,5,5,5,140.45,140.45,140.45,140.45,29.20612318,29.20612318,3.423939542,3.423939542
2025-09-04,MN-26,74,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-07,47,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-02,164,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-12,74,1,1.400,1.351,1.4,1.4,USD,1,2,2,2,1,2,2,2,18.9,47.79,47.79,47.79,2.929483155,2.929483155,34.13571429,34.13571429
2025-09-04,MN-33,1002,2,3.875,0.200,7.75,7.75,USD,0,1,1,1,0,1,1,1,0,79.98,79.98,79.98,9.689922481,9.689922481,10.32,10.32
2025-09-04,MN-41,274,1,4.620,0.365,4.62,4.62,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-03,10,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-03,24,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-03,46,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-03,15,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-04,MN-20,342,5,0.568,1.462,2.84,2.84,USD,2,2,2,2,2,2,2,2,38.88,38.88,38.88,38.88,7.304526749,7.304526749,13.69014085,13.69014085
2025-09-04,MN-20,368,5,0.518,1.359,2.59,2.59,USD,1,1,1,1,1,1,1,1,12.9,12.9,12.9,12.9,20.07751938,20.07751938,4.980694981,4.980694981
2025-09-04,MN-20,517,3,0.350,0.580,1.05,1.05,USD,1,1,1,1,1,1,1,1,10.98,10.98,10.98,10.98,9.56284153,9.56284153,10.45714286,10.45714286
2025-09-04,MN-20,603,9,0.222,1.493,2,2,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-50,45,1,2.010,2.222,2.01,2.01,USD,2,2,2,2,2,2,2,2,136.39,136.39,136.39,136.39,1.473715082,1.473715082,67.85572139,67.85572139
